,QA,ANS,TAG
4476,what movies did [Joe Dunthorne] write,Submarine,written_by_inv
4477,which movie did [Svetlana Karmalita] write,"Khrustalyov, My Car!",written_by_inv
4478,what movies did [Luciano Vincenzoni] write,"The Good, the Bad and the Ugly|Malèna|Death Rides a Horse",written_by_inv
4479,what is a film written by [Peter Gaulke],Say It Isn't So,written_by_inv
4480,what films was [Lawrence Edward Watkin] a writer on,Darby O'Gill and the Little People|On Borrowed Time|The Story of Robin Hood and His Merrie Men|The Great Locomotive Chase|The Sword and the Rose,written_by_inv
4481,what movie did [Angus MacPhail] write the story for,Spellbound,written_by_inv
4482,what is a film written by [Dan Greenburg],The Guardian|Private Lessons,written_by_inv
4483,which film did [Ruth Gordon] write,Adam's Rib|Pat and Mike|A Double Life|The Marrying Kind|The Actress,written_by_inv
4484,what is a movie written by [Peter Sollett],Raising Victor Vargas,written_by_inv
4485,which film did [Elia Suleiman] write,Divine Intervention|7 Days in Havana,written_by_inv
4486,what movies was [Hella Wuolijoki] the writer of,The Farmer's Daughter,written_by_inv
4487,which film did [Amy Sorlie] write,Dark Tide,written_by_inv
4488,which movies was [Robert Fuest] a writer on,Dr. Phibes Rises Again,written_by_inv
4489,what is a film written by [Matt Tauber],The Architect,written_by_inv
4490,which film did [Megan McDonald] write the story for,Judy Moody and the Not Bummer Summer,written_by_inv
4491,which movies was [Jean Becker] the writer of,My Afternoons with Margueritte|Conversations with My Gardener|Love Me No More,written_by_inv
4492,what is a movie written by [Christine Jeffs],Rain,written_by_inv
4493,what movies did [Eduardo Sánchez] write,The Blair Witch Project|Altered|Lovely Molly,written_by_inv
4494,what film did [Alistair MacLean] write,Where Eagles Dare|The Guns of Navarone|Force 10 from Navarone|Ice Station Zebra|Breakheart Pass|The Satan Bug|When Eight Bells Toll,written_by_inv
4495,which film did [David Baer] write,Broken Vessels,written_by_inv
4496,what is a movie written by [Brandon Drake],Visioneers,written_by_inv
4497,what movie did [Kaja Blackley] write the story for,Monkeybone,written_by_inv
4498,which film did [Max Ehrlich] write the story for,The Reincarnation of Peter Proud|The Naked Edge,written_by_inv
4499,what movies was [Jason Lindsey] the writer of,Tapped,written_by_inv
4500,which movies was [Isobel Lennart] a writer on,"Funny Girl|Please Don't Eat the Daisies|The Sundowners|Love Me or Leave Me|East Side, West Side|Fitzwilly|A Stranger in Town|The Affairs of Martha",written_by_inv
4501,what movie did [Steven Shainberg] write the story for,Secretary,written_by_inv
4502,what movies was [Louisa May Alcott] the writer of,Little Women,written_by_inv
4503,what is a movie written by [Piers Paul Read],Alive,written_by_inv
4504,which film did [Alan Rudolph] write,Breakfast of Champions|Mrs. Parker and the Vicious Circle|Afterglow|Choose Me|The Moderns|Trixie|Trouble in Mind|Equinox|Love at Large|Roadie|Endangered Species|Welcome to L.A.|Remember My Name,written_by_inv
4505,which film did [Al Hirshberg] write,Fear Strikes Out,written_by_inv
4506,which movie did [Eric Hatch] write,My Man Godfrey|Topper|The Horse in the Gray Flannel Suit,written_by_inv
4507,which movies was [Chip Proser] the writer of,Iceman,written_by_inv
4508,what films did [John McKay] write,Crush,written_by_inv
4509,what movies was [Geoff Thompson] the writer of,Clubbed,written_by_inv
4510,which movie did [Will Sharpe] write,Black Pond,written_by_inv
4511,what films was [Gilbert Adair] a writer on,The Dreamers|Klimt,written_by_inv
4512,what films did [Ronan Bennett] write,Public Enemies|Face,written_by_inv
4513,which movies was [Christopher Farah] the writer of,Answer This!,written_by_inv
4514,which film did [Lee MacDougall] write,High Life,written_by_inv
4515,what films did [Gordon Weaver] write,Cadence,written_by_inv
4516,what film did [Sean McGinly] write,The Great Buck Howard|Two Days,written_by_inv
4517,what movie did [Hayden Schlossberg] write the story for,American Reunion,written_by_inv
4518,which movies was [Robert Kaufman] the writer of,Love at First Bite|Divorce American Style|Harry and Walter Go to New York,written_by_inv
4519,what movie did [Mike Judge] write the story for,Office Space|Idiocracy|Extract,written_by_inv
4520,what movies did [John Hartwell] write,The Fan,written_by_inv
4521,what movie did [Marjorie Lawrence] write the story for,Interrupted Melody,written_by_inv
4522,what is a movie written by [John Katzenbach],Hart's War|Just Cause|The Mean Season,written_by_inv
4523,what film did [Betty Mahmoody] write,Not Without My Daughter,written_by_inv
4524,which movie did [Agatha Dominik] write,Boot Camp,written_by_inv
4525,what films did [Mark Saltzman] write,Napoleon,written_by_inv
4526,which movie did [Henry S. Villard] write,In Love and War,written_by_inv
4527,which film did [William Mastrosimone] write the story for,Bang Bang You're Dead|Extremities,written_by_inv
4528,what films did [Paul Auster] write,Smoke|Blue in the Face|Lulu on the Bridge|The Music of Chance,written_by_inv
4529,what movie did [Ted Hughes] write the story for,The Iron Giant,written_by_inv
4530,what is a movie written by [Trevor Miller],Out of Reach,written_by_inv
4531,what movie did [Michael Herr] write the story for,Full Metal Jacket|Apocalypse Now,written_by_inv
4532,what movie did [Elem Klimov] write the story for,Come and See,written_by_inv
4533,which film did [André Batista] write the story for,Elite Squad,written_by_inv
4534,what movies did [John Leach] write,Witch's Night Out,written_by_inv
4535,what movies did [Sylvester Stallone] write,Rocky|The Expendables|The Expendables 2|Rambo|First Blood|Rocky Balboa|Rocky II|Rocky IV|Rocky III|The Expendables 3|Cliffhanger|Rocky V|Homefront|Cobra|Driven|Over the Top|Staying Alive|Rhinestone|Paradise Alley,written_by_inv
4536,what movies did [I.A.R. Wylie] write,Phone Call from a Stranger,written_by_inv
4537,what film did [Laetitia Colombani] write,He Loves Me... He Loves Me Not,written_by_inv
4538,what movie did [Khyentse Norbu] write the story for,The Cup,written_by_inv
4539,what films was [John Hale] a writer on,"Anne of the Thousand Days|Mary, Queen of Scots|The Whistle Blower",written_by_inv
4540,what films did [Doreen Montgomery] write,The Man in Grey,written_by_inv
4541,which movie did [Homi Adajania] write,Being Cyrus,written_by_inv
4542,which movies was [Yam Laranas] the writer of,The Road,written_by_inv
4543,what films was [Jefery Levy] a writer on,S.F.W.,written_by_inv
4544,what is a movie written by [Gerald Ayres],Foxes|Rich and Famous,written_by_inv
4545,which movies was [Claude Sautet] a writer on,Intersection|The Things of Life|Classe Tous Risques|César and Rosalie,written_by_inv
4546,which movie did [Brock Cole] write,Standing Up,written_by_inv
4547,what film did [Robert Ludlum] write,The Bourne Ultimatum|The Bourne Identity|The Bourne Supremacy|The Osterman Weekend|The Holcroft Covenant,written_by_inv
4548,which film did [Paul Torday] write the story for,Salmon Fishing in the Yemen,written_by_inv
4549,what movies did [Irene Mecchi] write,The Lion King|Brave,written_by_inv
4550,which film did [Frank S. Nugent] write the story for,The Quiet Man|Fort Apache|3 Godfathers|The Tall Men,written_by_inv
4551,which movie did [Larry Cohen] write,"Cellular|Captivity|Maniac Cop|The Stuff|It's Alive|Q|Maniac Cop 2|Guilty as Sin|Best Seller|God Told Me To|Return of the Seven|A Return to Salem's Lot|Black Caesar|The Ambulance|Uncle Sam|I, the Jury|Hell Up in Harlem|Full Moon High|Bone",written_by_inv
4552,what films was [Preston Sturges] a writer on,Sullivan's Travels|The Lady Eve|The Palm Beach Story|The Miracle of Morgan's Creek|Unfaithfully Yours|Hail the Conquering Hero|Remember the Night|Christmas in July|The Great McGinty|Easy Living|The Sin of Harold Diddlebock|The Good Fairy|If I Were King|We Live Again,written_by_inv
4553,what is a movie written by [Ellen Simon],Moonlight and Valentino,written_by_inv
4554,what movies did [Eden Phillpotts] write,The Farmer's Wife,written_by_inv
4555,what films did [Solveig Dommartin] write,Until the End of the World,written_by_inv
4556,which movies was [Peter Liapis] a writer on,Stranger in the House,written_by_inv
4557,which film did [Naomi Foner] write,Running on Empty|Very Good Girls|Bee Season|Losing Isaiah|A Dangerous Woman,written_by_inv
4558,what film did [Thomas Middleton] write,Revengers Tragedy,written_by_inv
4559,what movies was [William Hjortsberg] the writer of,Angel Heart,written_by_inv
4560,what films did [Dorothy Gilman] write,Mrs. Pollifax-Spy,written_by_inv
4561,what is a movie written by [Gustavo Ron],Ways to Live Forever,written_by_inv
4562,which film did [Michael Noonan] write,December Boys,written_by_inv
4563,which movies was [Joe Lynch] a writer on,Chillerama,written_by_inv
4564,what films did [Reginald Owen] write,A Study in Scarlet,written_by_inv
4565,which film did [Robert Smigel] write,You Don't Mess with the Zohan,written_by_inv
4566,which movies was [W.D. Richter] a writer on,Brubaker,written_by_inv
4567,what is a movie written by [Paul Armont],Love Me Tonight,written_by_inv
4568,what film did [Georges Berr] write,Le Million|True Confession,written_by_inv
4569,which movies was [Harry Kressing] a writer on,Something for Everyone,written_by_inv
4570,what movies was [Martin Booth] the writer of,The American,written_by_inv
4571,what movies did [Chris J. Ford] write,The Village Barbershop,written_by_inv
4572,what films did [Gerald Walker] write,Cruising,written_by_inv
4573,which film did [Eric Weston] write the story for,Evilspeak,written_by_inv
4574,which movies was [John Hughes] a writer on,Home Alone|The Breakfast Club|Ferris Bueller's Day Off|101 Dalmatians|Home Alone 3|Sixteen Candles|Maid in Manhattan|National Lampoon's Vacation|Uncle Buck|Flubber|Weird Science|Drillbit Taylor|Pretty in Pink|Beethoven|Dennis the Menace|Baby's Day Out|The Great Outdoors|Miracle on 34th Street|Some Kind of Wonderful|Curly Sue|Mr. Mom|She's Having a Baby|Dutch|Career Opportunities,written_by_inv
4575,what movies did [Leonard Wibberley] write,The Mouse That Roared|The Mouse on the Moon,written_by_inv
4576,which film did [Luis Figueroa] write the story for,Kukuli,written_by_inv
4577,which film did [Simo Salminen] write,Uuno Turhapuro armeijan leivissä,written_by_inv
4578,which movies was [Thomas Wiseman] a writer on,The Romantic Englishwoman,written_by_inv
4579,which movies was [Lisa Collier Cool] a writer on,Deliver Us from Evil,written_by_inv
4580,what films did [Krishna Rao] write,Crossworlds,written_by_inv
4581,what films was [Alexander Key] a writer on,Race to Witch Mountain|Escape to Witch Mountain|Return from Witch Mountain,written_by_inv
4582,which film did [Marguerite Duras] write the story for,The Lover|India Song,written_by_inv
4583,which film did [Trent Carlson] write the story for,The Delicate Art of Parking,written_by_inv
4584,what films did [Kelly Senecal] write,Going the Distance,written_by_inv
4585,what movies did [Ted Elliott] write,Godzilla|The Puppet Masters,written_by_inv
4586,what films was [Jane Kennedy] a writer on,The Castle,written_by_inv
4587,what films did [Ektoras Lygizos] write,Boy Eating the Bird's Food,written_by_inv
4588,what film did [Melville Baker] write,Now and Forever,written_by_inv
4589,which film did [Rachel Ward] write the story for,Beautiful Kate,written_by_inv
4590,which film did [David Brin] write the story for,The Postman,written_by_inv
4591,what is a film written by [Jeremy Sandford],Cathy Come Home,written_by_inv
4592,which movies was [James DeMonaco] a writer on,The Purge,written_by_inv
4593,which movies was [David M. Evans] the writer of,The Sandlot,written_by_inv
4594,which film did [Richard W. Haines] write the story for,Class of Nuke 'Em High,written_by_inv
4595,what films was [Arthur La Bern] a writer on,Frenzy,written_by_inv
4596,what movie did [Martin Davidson] write the story for,Eddie and the Cruisers,written_by_inv
4597,which movie did [Matthew Miller] write,The Dirties,written_by_inv
4598,which film did [Mike Marvin] write the story for,The Wraith,written_by_inv
4599,what movies did [Seth Zvi Rosenfeld] write,King of the Jungle,written_by_inv
4600,what movies was [Bruce Brown] the writer of,The Endless Summer,written_by_inv
4601,what films did [Bono] write,The Million Dollar Hotel,written_by_inv
4602,what is a movie written by [Greg Watkins],A Little Stiff,written_by_inv
4603,what movies did [Charles Lazer] write,Diamond Girl,written_by_inv
4604,what films was [Michael Ellis] a writer on,The Wedding Planner,written_by_inv
4605,what film did [Steve Alden] write,Fall Time,written_by_inv
4606,which film did [Peter Howitt] write,Sliding Doors,written_by_inv
4607,what films did [Israel Zangwill] write,The Verdict,written_by_inv
4608,what film did [Peter Shaw] write,The Tale of Sweeney Todd,written_by_inv
4609,what movies was [Pierre Unik] the writer of,Land Without Bread,written_by_inv
4610,what is a movie written by [Garth Ennis],Constantine,written_by_inv
4611,what movies was [Anthony Hinds] the writer of,Taste the Blood of Dracula|The Kiss of the Vampire,written_by_inv
4612,what is a movie written by [Jake Kennedy],Days of Darkness,written_by_inv
4613,what movie did [Don Boyd] write the story for,Aria|My Kingdom,written_by_inv
4614,which movies was [Harry Julian Fink] the writer of,Big Jake|Ice Station Zebra|Major Dundee,written_by_inv
4615,which movies was [Helen Cross] the writer of,My Summer of Love,written_by_inv
4616,what film did [Ted Shane] write,Across to Singapore,written_by_inv
4617,what movie did [Diane Mei Lin Mark] write the story for,Picture Bride,written_by_inv
4618,which film did [Lincoln Child] write the story for,The Relic,written_by_inv
4619,what movies was [Nathan Greno] the writer of,Tangled Ever After,written_by_inv
4620,which movies was [Ted W. Lawson] a writer on,Thirty Seconds Over Tokyo,written_by_inv
4621,which movie did [Andreas Dresen] write,Grill Point|Stopped on Track,written_by_inv
4622,what movies did [Eric Idle] write,Monty Python and the Holy Grail|All You Need Is Cash|Splitting Heirs,written_by_inv
4623,which movies was [Osamu Tezuka] the writer of,Astro Boy|Metropolis|Dororo,written_by_inv
4624,what is a movie written by [William Slavens McNutt],The Lives of a Bengal Lancer,written_by_inv
4625,what is a film written by [Robert B. Sherman],Tom Sawyer|Huckleberry Finn,written_by_inv
4626,what movies was [Herman J. Mankiewicz] the writer of,The Pride of the Yankees|Dinner at Eight|The Last Command|The Pride of St. Louis,written_by_inv
4627,what movies did [Tim Ryan] write,Adventures of Kitty O'Day,written_by_inv
4628,what movies was [Robert J. Flaherty] the writer of,Man of Aran|Louisiana Story,written_by_inv
4629,what film did [Gloria Katz] write,Indiana Jones and the Temple of Doom|Howard the Duck|Radioland Murders|Messiah of Evil,written_by_inv
4630,which movies was [David Pliler] a writer on,Forever Strong,written_by_inv
4631,which movies was [Frank Cottrell Boyce] the writer of,24 Hour Party People|Millions|Code 46|Hilary and Jackie|Welcome to Sarajevo|The Claim|Butterfly Kiss|Revengers Tragedy|Pandaemonium,written_by_inv
4632,which movie did [M. Blash] write,The Wait,written_by_inv
4633,which film did [Allen Rivkin] write the story for,The Farmer's Daughter|Tension,written_by_inv
4634,what movie did [Ariane Mnouchkine] write the story for,Molière,written_by_inv
4635,which movies was [Larry Brown] a writer on,Joe|Big Bad Love,written_by_inv
4636,what movies was [Mo Ogrodnik] the writer of,Uptown Girls|Ripe,written_by_inv
4637,what films was [Jules Eckert Goodman] a writer on,The Man Who Played God,written_by_inv
4638,what films did [Bill S. Ballinger] write,The Strangler,written_by_inv
4639,what films was [Norbert Jacques] a writer on,The Testament of Dr. Mabuse,written_by_inv
4640,which movie did [Leslie Charteris] write,The Saint|Lady on a Train|The Saint in London,written_by_inv
4641,which movie did [Michael Burke] write,The Mudge Boy,written_by_inv
4642,what movies was [Cyrus Voris] the writer of,Men of War,written_by_inv
4643,which movies was [Clemence Randolph] the writer of,Rain,written_by_inv
4644,which movies was [John Patrick] a writer on,High Society|The Strange Love of Martha Ivers|Love Is a Many-Splendored Thing|The Teahouse of the August Moon|Three Coins in the Fountain|Les Girls|The World of Suzie Wong|The Hasty Heart|The President's Lady,written_by_inv
4645,which movies was [Bruno Samper] the writer of,Vanishing Waves,written_by_inv
4646,what movies did [Ardel Wray] write,Isle of the Dead,written_by_inv
4647,what is a film written by [Erskine Caldwell],Tobacco Road|God's Little Acre,written_by_inv
4648,what films was [Marion Vernoux] a writer on,Bright Days Ahead,written_by_inv
4649,what film did [Tracey Jackson] write,The Guru,written_by_inv
4650,what movie did [Paul Greengrass] write the story for,United 93|Bloody Sunday,written_by_inv
4651,what movie did [Marc Klein] write the story for,Serendipity,written_by_inv
4652,what is a movie written by [Greg Marinovich],The Bang Bang Club,written_by_inv
4653,what movie did [Lance Mungia] write the story for,Six-String Samurai,written_by_inv
4654,what movies was [Brian D. Smith] the writer of,Flu Bird Horror,written_by_inv
4655,what is a movie written by [Christopher Isherwood],A Single Man|Cabaret|The Loved One,written_by_inv
4656,which film did [David Weisman] write,Shogun Assassin,written_by_inv
4657,what movies was [Carlos Marcovich] the writer of,Who the Hell Is Juliette?,written_by_inv
4658,what is a movie written by [Jim Herzfeld],Meet the Parents,written_by_inv
4659,which movies was [Robert Caswell] a writer on,Something the Lord Made,written_by_inv
4660,what films did [Brian Sloan] write,I Think I Do,written_by_inv
4661,what films did [Jehane Noujaim] write,Control Room,written_by_inv
4662,what movies did [Derick Martini] write,Lymelife,written_by_inv
4663,what is a film written by [Justin Benson],Resolution,written_by_inv
4664,which movie did [Yurek Bogayevicz] write,Edges of the Lord|Anna,written_by_inv
4665,which film did [Michel Houellebecq] write the story for,Atomised,written_by_inv
4666,what films was [Yuriy Norshteyn] a writer on,Tale of Tales,written_by_inv
4667,what movie did [Jack Moran] write the story for,"Faster, Pussycat! Kill! Kill!",written_by_inv
4668,which movies was [Ian Watson] a writer on,A.I. Artificial Intelligence,written_by_inv
4669,what movie did [Peter O'Fallon] write the story for,A Rumor of Angels,written_by_inv
4670,what movies did [Joseph Wambaugh] write,The Onion Field|The New Centurions,written_by_inv
4671,which movie did [Jim Varney] write,Dr. Otto and the Riddle of the Gloom Beam,written_by_inv
4672,which film did [Martha Hyer] write the story for,Rooster Cogburn,written_by_inv
4673,which movie did [Edward Rugoff] write,Mannequin,written_by_inv
4674,what movies was [Ruskin Bond] the writer of,7 Khoon Maaf,written_by_inv
4675,which film did [Honobu Yonezawa] write the story for,The Incite Mill,written_by_inv
4676,which movie did [Matthew Porterfield] write,Putty Hill,written_by_inv
4677,what movies did [Edward Knoblock] write,Kismet|The Sin of Madelon Claudet,written_by_inv
4678,what movie did [Hype Williams] write the story for,Belly,written_by_inv
4679,which film did [Dan Aykroyd] write,Ghostbusters|The Blues Brothers|Coneheads|Spies Like Us|Dragnet|Blues Brothers 2000,written_by_inv
4680,what is a movie written by [Jacques Tati],The Illusionist|Mon Oncle|Playtime|Trafic|Parade,written_by_inv
4681,what is a movie written by [Jacques Demy],The Umbrellas of Cherbourg|The Young Girls of Rochefort|Lola|Donkey Skin|Bay of Angels|Model Shop|Une chambre en ville|The Pied Piper|Lady Oscar,written_by_inv
4682,which movies was [Keiko Nobumoto] a writer on,Tokyo Godfathers,written_by_inv
4683,what films was [Joann Sfar] a writer on,The Rabbi's Cat,written_by_inv
4684,what movie did [Anjum Rajabali] write the story for,Raajneeti,written_by_inv
4685,which movies was [Juan Antonio Bardem] a writer on,Death of a Cyclist,written_by_inv
4686,which film did [Hugh Croise] write,Always Tell Your Wife,written_by_inv
4687,which movies was [Ragnar Bragason] the writer of,Metalhead,written_by_inv
4688,what movie did [Marilù Parolini] write the story for,L'amour fou,written_by_inv
4689,what films was [Jay Presson Allen] a writer on,Marnie|Lord of the Flies|Deathtrap|The Prime of Miss Jean Brodie|Funny Lady|Travels with My Aunt,written_by_inv
4690,which movies was [Kazui Nihonmatsu] a writer on,The X from Outer Space,written_by_inv
4691,what is a film written by [Alex Rose],On a Clear Day,written_by_inv
4692,what movies did [Cedric the Entertainer] write,The Original Kings of Comedy,written_by_inv
4693,what movies was [Matthew Lewis] the writer of,The Monk,written_by_inv
4694,what films was [Roger Allers] a writer on,Beauty and the Beast|The Emperor's New Groove,written_by_inv
4695,which movie did [Tsutomu Minakami] write,A Fugitive from the Past,written_by_inv
4696,which movie did [William S. Burroughs] write,Naked Lunch,written_by_inv
4697,what movies was [Isaac Cravit] the writer of,Solo,written_by_inv
4698,which movies was [Bryan Gordon] the writer of,Pie in the Sky,written_by_inv
4699,what films was [Anne Holden] a writer on,The Bedroom Window,written_by_inv
4700,what film did [Nick Groff] write,Ghost Adventures,written_by_inv
4701,what film did [Jim Taylor] write,Sideways|Election|Citizen Ruth,written_by_inv
4702,which movie did [Akiva Schaffer] write,Extreme Movie,written_by_inv
4703,what films was [Adrian Mitchell] a writer on,Marat/Sade,written_by_inv
4704,what film did [Christopher Livingston] write,Hit and Runway,written_by_inv
4705,what movie did [John Gregory Dunne] write the story for,The Panic in Needle Park|True Confessions,written_by_inv
4706,what movies did [Sergio Martino] write,Torso|Casablanca Express|The Suspicious Death of a Minor|Gambling City,written_by_inv
4707,what is a movie written by [Frank Turner Hollon],Barry Munday,written_by_inv
4708,which film did [Emmet Lavery] write,The Magnificent Yankee,written_by_inv
4709,which movies was [Jonathan Bines] the writer of,Today's Special,written_by_inv
4710,which movies was [Faith Baldwin] a writer on,Wife vs. Secretary|Skyscraper Souls,written_by_inv
4711,which movies was [Mats Lindberg] the writer of,Kenny Begins,written_by_inv
4712,which movies was [Jeff Spiegel] the writer of,The Joyriders,written_by_inv
4713,what movie did [Marc Gunther] write the story for,Monday Night Mayhem,written_by_inv
4714,which film did [John Eugene Cay Jr.] write,Savannah,written_by_inv
4715,which movie did [Melissa Goddard] write,Poison Ivy,written_by_inv
4716,what film did [Gilbert Frankau] write,Christopher Strong,written_by_inv
4717,what movies was [Anthony Story] the writer of,Zulu Dawn,written_by_inv
4718,what movies did [Sam Greenlee] write,The Spook Who Sat by the Door,written_by_inv
4719,what is a movie written by [Ramón Menéndez],Tortilla Soup|Money for Nothing,written_by_inv
4720,what is a film written by [Vic Sarin],A Shine of Rainbows,written_by_inv
4721,what movies was [Maud Nycander] the writer of,Palme,written_by_inv
4722,which movies was [Leo Tolstoy] the writer of,Anna Karenina|War and Peace|We Live Again,written_by_inv
4723,what movies was [Gunnar Germundson] the writer of,The Radio Pirates,written_by_inv
4724,what movies was [Maury Yeston] the writer of,Nine,written_by_inv
4725,what films did [Dale Eunson] write,How to Marry a Millionaire|All Mine to Give,written_by_inv
4726,which movie did [Mordecai Richler] write,Barney's Version|The Apprenticeship of Duddy Kravitz,written_by_inv
4727,what movie did [Beth Henley] write the story for,Crimes of the Heart|Miss Firecracker|Nobody's Fool,written_by_inv
4728,what movies was [Aldo Lado] the writer of,Short Night of Glass Dolls|The Humanoid,written_by_inv
4729,what films did [Helene Hanff] write,84 Charing Cross Road,written_by_inv
4730,what movies was [Mogens Rukov] the writer of,The Celebration|Reconstruction|The Inheritance,written_by_inv
4731,what films was [Paul Gross] a writer on,Passchendaele|Men with Brooms,written_by_inv
4732,which movies was [Tom Savage] a writer on,Valentine,written_by_inv
4733,what films did [Nat Faxon] write,The Descendants|The Way Way Back,written_by_inv
4734,which movies was [Mitchell Dana] a writer on,Troma's War,written_by_inv
4735,what films was [Alvin Sapinsley] a writer on,Moon of the Wolf,written_by_inv
4736,which movies was [Beth Raymer] a writer on,Lay the Favorite,written_by_inv
4737,what film did [Brian Bird] write,Not Easily Broken,written_by_inv
4738,what is a movie written by [Eugene Burdick],Fail Safe|The Ugly American,written_by_inv
4739,what films did [Charles O'Neal] write,Something in the Wind,written_by_inv
4740,what is a film written by [Chuck Hustmyre],House of the Rising Sun,written_by_inv
4741,what movie did [Tom Topor] write the story for,The Accused|Nuts,written_by_inv
4742,which film did [Alan Alda] write the story for,The Four Seasons|Betsy's Wedding|Sweet Liberty|The Seduction of Joe Tynan,written_by_inv
4743,which film did [Kyle Patrick Alvarez] write the story for,C.O.G.|Easier with Practice,written_by_inv
4744,what is a movie written by [Betty Comden],On the Town|The Band Wagon|The Barkleys of Broadway|It's Always Fair Weather|Good News,written_by_inv
4745,which movies was [Richard M. Bluel] a writer on,The Castaway Cowboy,written_by_inv
4746,what movies was [Thomas Edward O'Connell] the writer of,The Face Behind the Mask,written_by_inv
4747,what film did [Tommy Wirkola] write,Dead Snow,written_by_inv
4748,which movie did [Andrew Matthews] write,Zero Charisma,written_by_inv
4749,which film did [Mark Fuhrman] write,Murder in Greenwich,written_by_inv
4750,which movie did [Nico Mastorakis] write,Blind Date,written_by_inv
4751,which film did [Peter Kline] write,The Living Wake,written_by_inv
4752,which film did [Emilio Fernández] write,La perla,written_by_inv
4753,which movies was [Stéphane Aubier] the writer of,A Town Called Panic,written_by_inv
4754,what is a movie written by [Charles Schnee],Red River|The Bad and the Beautiful,written_by_inv
4755,what film did [Nancy Oliver] write,Lars and the Real Girl,written_by_inv
4756,which movies was [Ira Wallach] the writer of,Boys' Night Out|Hot Millions|Don't Make Waves|The Wheeler Dealers,written_by_inv
4757,what films did [Lewis Jackson] write,Christmas Evil,written_by_inv
4758,which movies was [Ashutosh Gowariker] the writer of,Swades|Jodhaa Akbar,written_by_inv
4759,which film did [Alan Glynn] write,Limitless,written_by_inv
4760,what films was [Arthur Kober] a writer on,The Little Foxes,written_by_inv
4761,what films was [Mary Norton] a writer on,Bedknobs and Broomsticks|The Borrowers,written_by_inv
4762,what film did [Richard Dembo] write,Dangerous Moves,written_by_inv
4763,what is a movie written by [Allison Jacobs],Uptown Girls,written_by_inv
4764,which film did [Eric Lartigau] write,The Big Picture,written_by_inv
4765,what film did [Michel Hazanavicius] write,The Artist,written_by_inv
4766,what movies did [Robert Lindsey] write,The Falcon and the Snowman,written_by_inv
4767,what is a film written by [Gordon Hessler],The Girl in a Swing,written_by_inv
4768,which film did [Al Stump] write the story for,Cobb,written_by_inv
4769,which movies was [Harry Segall] a writer on,Heaven Can Wait|Here Comes Mr. Jordan|Angel on My Shoulder,written_by_inv
4770,which film did [Pierre Seghers] write the story for,Araya,written_by_inv
4771,which movie did [Forrest Carter] write,The Outlaw Josey Wales|The Education of Little Tree,written_by_inv
4772,which film did [Roberto Benabib] write the story for,Little City,written_by_inv
4773,what movies was [Patricia Broderick] the writer of,Infinity,written_by_inv
4774,which movies was [Ursula Curtiss] the writer of,I Saw What You Did|What Ever Happened to Aunt Alice?,written_by_inv
4775,what film did [Robert Littell] write,The Amateur,written_by_inv
4776,what movies was [Jeffrey Delman] the writer of,Deadtime Stories|Voodoo Dawn,written_by_inv
4777,what movies did [Diane Drake] write,What Women Want|Only You,written_by_inv
4778,what movie did [Crosbie Garstin] write the story for,China Seas,written_by_inv
4779,which movie did [Ben Steiner] write,Whatever Happened to Harold Smith?,written_by_inv
4780,which movies was [Pnenah Goldstein] the writer of,Loving Leah,written_by_inv
4781,what films did [Jonathan Holiff] write,My Father and the Man in Black,written_by_inv
4782,which movies was [Wendy Wasserstein] a writer on,The Object of My Affection,written_by_inv
4783,which film did [Fernando Trueba] write,Two Much|The Artist and the Model|Calle 54,written_by_inv
4784,which film did [A.I. Bezzerides] write,Kiss Me Deadly|Sirocco,written_by_inv
4785,which movies was [Stu Zicherman] the writer of,A.C.O.D.,written_by_inv
4786,what movie did [Harper Lee] write the story for,To Kill a Mockingbird,written_by_inv
4787,which film did [Marina Koreneva] write,Moloch,written_by_inv
4788,what movies did [Steven Gould] write,Jumper,written_by_inv
4789,what films was [Mark Leahy] a writer on,Beowulf,written_by_inv
4790,what movie did [Mark Doherty] write the story for,A Film with Me in It,written_by_inv
4791,what movies did [David Moreau] write,Them,written_by_inv
4792,what films did [Wes Anderson] write,The Grand Budapest Hotel|Moonrise Kingdom|The Royal Tenenbaums|The Life Aquatic with Steve Zissou|The Darjeeling Limited|Rushmore|Fantastic Mr. Fox|Bottle Rocket|Hotel Chevalier,written_by_inv
4793,what is a film written by [Duncan Sarkies],Two Little Boys,written_by_inv
4794,which movies was [Matt Venne] a writer on,Mirrors 2,written_by_inv
4795,what movie did [David Cruise] write the story for,Net Worth,written_by_inv
4796,what films did [Richard Flanagan] write,Australia,written_by_inv
4797,what movies did [Patrick Senécal] write,7 Days,written_by_inv
4798,what movies did [Clancy Sigal] write,Frida,written_by_inv
4799,what movie did [Nick Villiers] write the story for,Blood and Wine,written_by_inv
4800,what is a film written by [Christopher Frank],Malone,written_by_inv
4801,which movie did [Ken Hixon] write,Welcome to the Rileys|Inventing the Abbotts|Morgan Stewart's Coming Home,written_by_inv
4802,which movies was [José Saramago] the writer of,Enemy|Blindness,written_by_inv
4803,which movies was [Vincent B. Evans] the writer of,Chain Lightning,written_by_inv
4804,what movies did [Joe May] write,The Invisible Man Returns,written_by_inv
4805,what movie did [Walter D. Edmonds] write the story for,Drums Along the Mohawk,written_by_inv
4806,what film did [Frank O'Connor] write,Halo Legends,written_by_inv
